"Podscribe Data 2026
",,JAN,,,,,FEB,,,,MAR,,,,APR,,,,MAY,,,,JUN,,,,,JUL,,,,AUG,,,,,SEP,,,,OCT,,,,NOV,,,,,DEC,,,,,2026,,,,,,,,,,,,2026,,,,2026
,,"Mon, Dec 29","Mon, Jan 5","Mon, Jan 12","Mon, Jan 19","Mon, Jan 26","Mon, Feb 2","Mon, Feb 9","Mon, Feb 16","Mon, Feb 23","Mon, Mar 2","Mon, Mar 9","Mon, Mar 16","Mon, Mar 23","Mon, Mar 30","Mon, Apr 6","Mon, Apr 13","Mon, Apr 20","Mon, Apr 27","Mon, May 4","Mon, May 11","Mon, May 18","Mon, May 25","Mon, Jun 1","Mon, Jun 8","Mon, Jun 15","Mon, Jun 22","Mon, Jun 29","Mon, Jul 6","Mon, Jul 13","Mon, Jul 20","Mon, Jul 27","Mon, Aug 3","Mon, Aug 10","Mon, Aug 17","Mon, Aug 24","Mon, Aug 31","Mon, Sep 7","Mon, Sep 14","Mon, Sep 21","Mon, Sep 28","Mon, Oct 5","Mon, Oct 12","Mon, Oct 19","Mon, Oct 26","Mon, Nov 2","Mon, Nov 9","Mon, Nov 16","Mon, Nov 23","Mon, Nov 30","Mon, Dec 7","Mon, Dec 14","Mon, Dec 21","Mon, Dec 28",Q1,,,Q2,,,Q3,,,Q4,,,Q1,Q2,Q3,Q4,TOTAL
,,"Sun, Jan 4","Sun, Jan 11","Sun, Jan 18","Sun, Jan 25","Sun, Feb 1","Sun, Feb 8","Sun, Feb 15","Sun, Feb 22","Sun, Mar 1","Sun, Mar 8","Sun, Mar 15","Sun, Mar 22","Sun, Mar 29","Sun, Apr 5","Sun, Apr 12","Sun, Apr 19","Sun, Apr 26","Sun, May 3","Sun, May 10","Sun, May 17","Sun, May 24","Sun, May 31","Sun, Jun 7","Sun, Jun 14","Sun, Jun 21","Sun, Jun 28","Sun, Jul 5","Sun, Jul 12","Sun, Jul 19","Sun, Jul 26","Sun, Aug 2","Sun, Aug 9","Sun, Aug 16","Sun, Aug 23","Sun, Aug 30","Sun, Sep 6","Sun, Sep 13","Sun, Sep 20","Sun, Sep 27","Sun, Oct 4","Sun, Oct 11","Sun, Oct 18","Sun, Oct 25","Sun, Nov 1","Sun, Nov 8","Sun, Nov 15","Sun, Nov 22","Sun, Nov 29","Sun, Dec 6","Sun, Dec 13","Sun, Dec 20","Sun, Dec 27","Thu, Dec 31",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,,,,,,,,,,,,,,,,
BIOptimizers,TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOptimizers - TOTALS,Total Impressions,"11,913","9,055","33,623","21,873","1,009,389","88,379","507,689","987,128","1,233,227","1,706,171","2,134,224","986,104","1,247,948","1,271,071","2,302,614","4,430,438","2,110,037","1,392,898","889,972","1,730,217","2,033,062","3,083,970","2,759,873","2,828,300","2,400,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,085,853","2,816,423","6,074,447","10,114,160","9,130,119","7,988,357",,,,,,,"9,976,723","27,232,636",,,"37,209,359"
BIOptimizers - TOTALS,Growth Rate | Period - over - Period,,-24%,271%,-35%,4515%,-91%,474%,94%,25%,38%,25%,-54%,27%,2%,81%,92%,-52%,-34%,-36%,94%,18%,52%,-11%,2%,-15%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159%,116%,67%,-10%,-13%,-100%,,,,,,,173%,-100%,,
BIOptimizers - TOTALS - Growth Rate | Period - over - Period,IP Modelling Revenue,,,,,"$1,606",$599,"$12,523","$26,885","$29,814","$26,374","$37,565","$43,714","$32,542","$23,629","$30,815","$31,965","$57,525","$35,648","$27,778","$35,239","$30,692","$38,456","$22,065","$21,330","$23,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,606","$69,821","$140,195","$143,934","$167,814","$67,357",,,,,,,"$211,622","$379,105",,,"$590,727"
BIOptimizers - TOTALS - Growth Rate | Period - over - Period,Growth Rate | Period - over - Period,,,,,,-63%,1991%,115%,11%,-12%,42%,16%,-26%,-27%,30%,4%,80%,-38%,-22%,27%,-13%,25%,-43%,-3%,12%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248%,101%,3%,17%,-60%,-100%,,,,,,,79%,-100%,,
BIOptimizers - TOTALS - Growth Rate | Period - over - Period - Growth Rate | Period - over - Period,IP Modelling CPM$,$0,$0,$0,$7,$10,$13,$14,$21,$10,$16,$10,$15,$14,$13,$5,$1,$4,$14,$19,$6,$5,$5,$7,$13,$12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10,$15,$13,$4,$8,$10,,,,,,,$13,$7,,,$9
BIOptimizers - TOTALS - Growth Rate | Period - over - Period - Growth Rate | Period - over - Period,Growth Rate | Period - over - Period,,32%,-73%,21924869%,59%,30%,5%,49%,-53%,60%,-36%,54%,-7%,-10%,-60%,-74%,216%,233%,30%,-68%,-17%,8%,33%,77%,-7%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,-9%,-68%,87%,29%,-100%,,,,,,,-45%,-100%,,
BIOptimizers - TOTALS - Growth Rate | Period - over - Period - Growth Rate | Period - over - Period - Growth Rate | Period - over - Period,IP Modelling RPM$,,,,,$2,$7,$25,$27,$24,$15,$18,$44,$26,$19,$13,$7,$27,$26,$31,$20,$15,$12,$8,$8,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$1,$25,$23,$14,$18,$8,,,,,,,$21,$14,,,$16
